Iteration,gradnorm,objective,time,two_loop_time,grad_time
320,11795.876631,13173.892576,0.005348,0.000001,0.000007
321,3128.292628,13167.021913,0.005364,0.000000,0.000007
322,3445.576566,13164.828463,0.005381,0.000000,0.000008
323,3214.597076,13163.608181,0.005407,0.000000,0.000006
324,9517.079150,13158.578709,0.005425,0.000001,0.000006
325,41939.132600,13159.628893,0.005446,0.000001,0.000005
326,16926.989882,13143.306295,0.005461,0.000001,0.000005
327,13978.521098,13124.137397,0.005476,0.000001,0.000005
328,41556.966750,13073.679440,0.005491,0.000000,0.000006
329,59415.258212,13007.574169,0.005506,0.000001,0.000006
330,28309.997318,12933.185705,0.005523,0.000000,0.000007
331,21464.609971,12901.092020,0.005539,0.000000,0.000008
332,119758.267215,12971.514339,0.005555,0.000000,0.000007
333,13642.149449,12889.846881,0.005571,0.000000,0.000006
334,11059.566305,12887.620703,0.005587,0.000000,0.000007
335,7832.065423,12878.489828,0.005603,0.000001,0.000006
336,7220.281738,12871.310221,0.005622,0.000001,0.000007
337,33587.678894,12845.557991,0.005698,0.000000,0.000064
338,9625.016759,12830.186257,0.005789,0.000000,0.000007
339,3801.440661,12825.367238,0.005806,0.000000,0.000008
340,4654.402334,12823.443598,0.005823,0.000000,0.000007
341,14892.510247,12822.918409,0.005840,0.000000,0.000007
342,4185.982004,12819.081754,0.005858,0.000000,0.000007
343,11421.887754,12814.421735,0.005875,0.000000,0.000007
344,26703.736596,12807.282889,0.005892,0.000000,0.000007
345,44378.889055,12791.237939,0.005909,0.000000,0.000007
346,55312.048703,12761.212230,0.005926,0.000001,0.000007
347,38798.325880,12731.195847,0.005945,0.000000,0.000007
348,14343.064579,12717.195735,0.005963,0.000000,0.000007
349,7593.211431,12712.643529,0.005980,0.000000,0.000007
350,11669.085535,12711.268490,0.006002,0.000000,0.000011
351,17489.854581,12706.487545,0.006019,0.000000,0.000007
352,18192.781953,12699.841343,0.006035,0.000000,0.000007
353,10480.423005,12705.253187,0.006053,0.000000,0.000007
354,28431.055739,12683.629835,0.006070,0.000000,0.000007
355,81583.183271,12725.724569,0.006088,0.000000,0.000007
356,2498.803967,12677.555067,0.006105,0.000000,0.000007
357,2752.953471,12677.277035,0.006123,0.000001,0.000007
358,3700.886667,12672.513850,0.006140,0.000001,0.000007
359,3089.380378,12666.925368,0.006158,0.000000,0.000007
360,10524.534224,12653.670992,0.006175,0.000001,0.000007
361,8305.580017,12638.590790,0.006193,0.000000,0.000007
362,94052.930572,12674.844770,0.006212,0.000000,0.000007
363,8111.628410,12618.375979,0.006229,0.000000,0.000007
364,3961.314035,12615.413490,0.006246,0.000000,0.000007
365,1690.250054,12613.645353,0.006263,0.000000,0.000008
366,2119.165647,12613.415431,0.006279,0.000001,0.000006
367,1622.152779,12613.100457,0.006295,0.000000,0.000007
368,3553.382999,12610.678479,0.006311,0.000000,0.000006
369,21140.651314,12611.177014,0.006327,0.000000,0.000007
370,5718.223401,12606.824341,0.006342,0.000001,0.000006
371,2163.701433,12604.321242,0.006358,0.000000,0.000007
372,1278.633447,12602.704095,0.006374,0.000000,0.000006
373,6410.605797,12599.427201,0.006391,0.000001,0.000006
374,16246.485575,12593.307430,0.006407,0.000000,0.000007
375,14265.527320,12586.391251,0.006423,0.000000,0.000006
376,40995.479334,12593.608887,0.006440,0.000001,0.000006
377,4304.829714,12579.747174,0.006456,0.000000,0.000007
378,3752.696658,12579.391923,0.006472,0.000001,0.000007
379,3987.381775,12574.540173,0.006487,0.000000,0.000006
380,7956.216753,12571.707406,0.006503,0.000001,0.000007
381,7627.326472,12567.907433,0.006519,0.000000,0.000007
382,182391.394250,14253.393452,0.006535,0.000000,0.000007
383,15101.962885,12564.313017,0.006551,0.000000,0.000007
384,37227.568085,12574.307662,0.006567,0.000000,0.000006
385,2489.667812,12562.361606,0.006583,0.000000,0.000007
386,2796.592328,12562.251824,0.006599,0.000000,0.000007
387,7522.534825,12560.694250,0.006615,0.000000,0.000007
388,9807.516825,12558.762993,0.006631,0.000000,0.000007
389,16455.963514,12553.996429,0.006647,0.000000,0.000007
390,9493.678071,12549.379145,0.006664,0.000001,0.000006
391,5271.325667,12547.281013,0.006679,0.000001,0.000006
392,9696.819367,12547.246103,0.006694,0.000000,0.000007
393,2160.680380,12546.724991,0.006709,0.000001,0.000006
394,1694.660024,12546.661828,0.006725,0.000000,0.000007
395,1626.569335,12546.379932,0.006757,0.000001,0.000008
396,2162.560635,12545.690881,0.006776,0.000000,0.000006
397,1887.118679,12544.179607,0.006792,0.000000,0.000006
398,11690.520699,12542.282118,0.006811,0.000000,0.000009
399,9073.288234,12539.644529,0.006831,0.000001,0.000008
400,3418.174832,12538.346220,0.006852,0.000000,0.000008
401,1207.387145,12537.982309,0.006873,0.000000,0.000008
402,1343.670139,12537.912518,0.006893,0.000000,0.000008
403,3128.565218,12537.010309,0.006914,0.000001,0.000008
404,4421.863200,12535.509430,0.006934,0.000000,0.000008
405,87625.588705,12583.071155,0.006953,0.000001,0.000008
406,9077.144499,12532.882500,0.006972,0.000000,0.000006
407,6424.236248,12531.786584,0.006988,0.000000,0.000007
408,1949.908238,12529.685556,0.007004,0.000001,0.000007
409,1765.617610,12529.366794,0.007021,0.000000,0.000007
410,1691.467455,12527.801110,0.007038,0.000000,0.000007
411,3103.912720,12526.245219,0.007057,0.000000,0.000007
412,64206.005998,12550.581877,0.007073,0.000000,0.000006
413,5738.022740,12524.786748,0.007091,0.000000,0.000007
414,3574.658579,12523.924552,0.007108,0.000001,0.000007
415,2918.747265,12522.190596,0.007126,0.000001,0.000006
416,2868.333058,12521.790738,0.007141,0.000000,0.000006
417,2272.833479,12521.006141,0.007157,0.000000,0.000007
418,2040.255654,12519.796072,0.007172,0.000001,0.000006
419,4243.683593,12518.596331,0.007188,0.000001,0.000006
420,23888.056620,12521.440528,0.007204,0.000000,0.000006
421,2771.740392,12516.965832,0.007220,0.000001,0.000006
422,2481.747717,12516.525577,0.007236,0.000000,0.000007
423,5130.053049,12515.171245,0.007252,0.000000,0.000007
424,7860.948158,12512.515951,0.007268,0.000000,0.000006
425,16598.309394,12502.059849,0.007283,0.000000,0.000007
426,15697.935889,12490.602503,0.007300,0.000001,0.000007
427,540023.486347,14670.647710,0.007317,0.000001,0.000007
428,10808.789472,12482.693969,0.007336,0.000000,0.000007
429,6847.919251,12480.779308,0.007352,0.000001,0.000006
430,2102.833472,12478.541741,0.007367,0.000000,0.000007
431,2649.718603,12478.072945,0.007382,0.000001,0.000006
432,4125.702786,12476.221622,0.007398,0.000000,0.000007
433,5151.772477,12472.408887,0.007413,0.000001,0.000006
434,241876.144648,12862.995335,0.007429,0.000001,0.000006
435,7456.542256,12465.400762,0.007522,0.000000,0.000006
436,4356.170908,12462.944726,0.007539,0.000000,0.000005
437,2543.412164,12458.827315,0.007555,0.000000,0.000006
438,1691.601361,12458.322196,0.007571,0.000001,0.000006
439,1616.573525,12457.756370,0.007587,0.000000,0.000006
440,5691.298208,12455.202381,0.007604,0.000000,0.000006
441,7833.584555,12454.030421,0.007619,0.000000,0.000006
442,4389.566769,12452.232563,0.007636,0.000000,0.000007
443,2307.892011,12451.850921,0.007653,0.000001,0.000006
444,883.840960,12451.727725,0.007669,0.000000,0.000006
445,853.653416,12451.640572,0.007688,0.000001,0.000006
446,2647.411308,12451.314720,0.007704,0.000000,0.000006
447,5205.465263,12450.679251,0.007721,0.000001,0.000007
448,7536.019419,12449.110760,0.007738,0.000000,0.000005
449,35355.320681,12449.579319,0.007757,0.000001,0.000008
450,17772.974535,12444.130323,0.007778,0.000000,0.000006
451,6648.823293,12439.273689,0.007794,0.000000,0.000006
