Iteration,t_k,gradnorm,objective,time
478,0.000000,0.074019,4.346698,1.516960
479,0.000000,0.571809,4.346681,1.519994
480,0.000000,0.719629,4.346735,1.523056
481,0.000000,5.285313,4.346934,1.526067
482,0.000000,0.146273,4.346736,1.529136
483,0.000000,0.215468,4.346717,1.532269
484,0.000000,0.111228,4.346684,1.535379
485,0.000000,0.156071,4.346680,1.538435
486,0.000000,0.508121,4.346585,1.541518
487,0.000000,0.213525,4.346582,1.544540
488,0.000000,0.210721,4.346572,1.547618
489,0.000000,0.067703,4.346578,1.550641
490,0.000000,1.884594,4.346515,1.553722
491,0.000000,0.288308,4.346554,1.556764
492,0.000000,0.107354,4.346553,1.559857
493,0.000000,0.147006,4.346547,1.562960
494,0.000000,0.096057,4.346559,1.566128
495,0.000000,0.062755,4.346552,1.569216
496,0.000000,0.155329,4.346550,1.572337
497,0.000000,0.058283,4.346541,1.575393
498,0.000000,6.446667,4.346492,1.578499
499,0.000000,0.406699,4.346501,1.581569
500,0.000000,0.340666,4.346484,1.584688
501,0.000000,0.364342,4.346309,1.587731
502,0.000000,0.058069,4.346345,1.590836
503,0.000000,0.058298,4.346346,1.593903
504,0.000000,0.363587,4.346346,1.597031
