Iteration,t_k,gradnorm,objective,time,two_loop_time,grad_time
232,0.000000,42.620092,688.259771,11226.000000,1.000000,25.000000
233,0.000000,164.202838,688.206295,11290.000000,0.000000,26.000000
234,0.000000,249.037799,688.136590,11354.000000,0.000000,26.000000
235,0.000000,189.684208,688.080826,11414.000000,1.000000,24.000000
236,0.000000,60.243541,688.062400,11477.000000,0.000000,25.000000
237,0.000000,80.421952,688.053232,11541.000000,1.000000,25.000000
238,0.000000,114.210203,688.045225,11603.000000,0.000000,24.000000
239,0.000000,152.105952,688.018959,11667.000000,0.000000,25.000000
240,0.000000,254.106685,687.945936,11730.000000,1.000000,24.000000
241,0.000000,200.156710,687.831175,11796.000000,0.000000,26.000000
242,0.000000,508.323929,687.662642,11859.000000,1.000000,25.000000
243,0.000000,440.398201,687.477176,11923.000000,0.000000,25.000000
244,0.000000,95.242587,687.090962,11984.000000,1.000000,25.000000
245,0.000000,154.005586,686.953476,12048.000000,0.000000,26.000000
246,0.000000,160.496890,686.787642,12112.000000,1.000000,25.000000
247,0.000000,308.852311,686.711822,12176.000000,1.000000,25.000000
248,0.000000,1304.310667,686.969117,12240.000000,0.000000,26.000000
249,0.000000,97.607573,686.636560,12310.000000,0.000000,30.000000
250,0.000000,75.335118,686.632495,12375.000000,1.000000,25.000000
251,0.000000,81.076493,686.617902,12439.000000,0.000000,25.000000
252,0.000000,117.213865,686.603953,12503.000000,0.000000,25.000000
253,0.000000,194.877611,686.552096,12565.000000,1.000000,25.000000
254,0.000000,206.315404,686.457563,12629.000000,0.000000,25.000000
255,0.000000,24537.063649,808.851800,12692.000000,1.000000,25.000000
256,0.000000,278.393718,686.353605,12756.000000,1.000000,25.000000
257,0.000000,207.148141,686.318853,12820.000000,1.000000,25.000000
258,0.000000,43.747009,686.275766,12884.000000,0.000000,26.000000
259,0.000000,40.457892,686.271201,12948.000000,0.000000,24.000000
260,0.000000,165.498096,686.191020,13012.000000,0.000000,26.000000
261,0.000000,231.836425,686.118582,13078.000000,0.000000,26.000000
262,0.000000,1008.919280,686.307347,13142.000000,1.000000,25.000000
263,0.000000,79.845949,686.000642,13208.000000,0.000000,25.000000
264,0.000000,71.228863,685.977063,13272.000000,0.000000,25.000000
265,0.000000,1065.364749,687.128534,13337.000000,0.000000,25.000000
266,0.000000,25.516204,685.942431,13400.000000,0.000000,24.000000
267,0.000000,24.899691,685.940939,13465.000000,0.000000,26.000000
268,0.000000,44.550244,685.923991,13529.000000,0.000000,25.000000
269,0.000000,529.655583,685.976731,13592.000000,0.000000,26.000000
270,0.000000,43.975940,685.919512,13655.000000,0.000000,25.000000
271,0.000000,38.547704,685.917425,13719.000000,1.000000,25.000000
272,0.000000,58.022947,685.892116,13782.000000,1.000000,25.000000
273,0.000000,39.781033,685.885531,13847.000000,1.000000,26.000000
274,0.000000,111.522283,685.871810,13911.000000,1.000000,25.000000
275,0.000000,61.639409,685.866073,13974.000000,1.000000,26.000000
276,0.000000,33.841107,685.862882,14037.000000,0.000000,25.000000
277,0.000000,118.349367,685.863270,14102.000000,0.000000,25.000000
278,0.000000,43.113203,685.861012,14166.000000,1.000000,25.000000
279,0.000000,28.038998,685.860097,14232.000000,0.000000,25.000000
280,0.000000,37.403317,685.856430,14297.000000,0.000000,26.000000
281,0.000000,48.067311,685.853771,14361.000000,1.000000,25.000000
282,0.000000,36.883146,685.848513,14425.000000,1.000000,25.000000
283,0.000000,608.789855,685.909971,14489.000000,1.000000,26.000000
284,0.000000,107.683491,685.827465,14554.000000,1.000000,26.000000
285,0.000000,50.598117,685.823103,14619.000000,0.000000,26.000000
286,0.000000,47.879362,685.819949,14673.000000,1.000000,18.000000
287,0.000000,47.928574,685.817264,14718.000000,0.000000,18.000000
288,0.000000,59.668756,685.811256,14763.000000,0.000000,18.000000
289,0.000000,841.424047,686.287734,14809.000000,0.000000,18.000000
290,0.000000,161.933847,685.776707,14855.000000,0.000000,18.000000
291,0.000000,53.144007,685.771456,14900.000000,1.000000,18.000000
292,0.000000,15.372058,685.770444,14945.000000,1.000000,18.000000
293,0.000000,19.861881,685.770150,14990.000000,1.000000,18.000000
294,0.000000,55.362728,685.768234,15032.000000,1.000000,18.000000
295,0.000000,65.825467,685.766533,15076.000000,0.000000,19.000000
296,0.000000,63.592447,685.770431,15122.000000,0.000000,19.000000
297,0.000000,23.810149,685.762256,15169.000000,0.000000,18.000000
298,0.000000,43.255336,685.759803,15209.000000,0.000000,17.000000
299,0.000000,106.901130,685.745880,15253.000000,0.000000,17.000000
300,0.000000,51.164817,685.739879,15298.000000,1.000000,18.000000
301,0.000000,48.403437,685.733606,15339.000000,0.000000,17.000000
302,0.000000,16.233952,685.732518,15382.000000,1.000000,18.000000
303,0.000000,12.719405,685.732257,15436.000000,0.000000,22.000000
304,0.000000,24.974077,685.731962,15488.000000,1.000000,18.000000
305,0.000000,49.614759,685.731177,15542.000000,0.000000,21.000000
306,0.000000,88.297895,685.729139,15588.000000,1.000000,17.000000
307,0.000000,144.140243,685.723994,15635.000000,1.000000,20.000000
308,0.000000,202.018795,685.712337,15700.000000,1.000000,26.000000
309,0.000000,230.750278,685.690765,15764.000000,1.000000,26.000000
310,0.000000,320.042060,685.658610,15827.000000,0.000000,24.000000
311,0.000000,623.327421,685.734147,15891.000000,0.000000,25.000000
312,0.000000,43.466960,685.624947,15954.000000,1.000000,24.000000
313,0.000000,30.402822,685.621517,16019.000000,0.000000,25.000000
314,0.000000,31.470358,685.616525,16085.000000,0.000000,26.000000
315,0.000000,22.971285,685.607325,16149.000000,1.000000,25.000000
316,0.000000,51.332374,685.590760,16214.000000,0.000000,25.000000
317,0.000000,84.487927,685.567729,16277.000000,1.000000,25.000000
318,0.000000,986.252450,685.707252,16344.000000,1.000000,25.000000
319,0.000000,75.401739,685.505474,16409.000000,1.000000,25.000000
320,0.000000,74.270969,685.481828,16473.000000,0.000000,25.000000
321,0.000000,106.389501,685.410975,16535.000000,0.000000,26.000000
322,0.000000,343.566982,685.310972,16598.000000,1.000000,25.000000
323,0.000000,120.133632,685.270021,16660.000000,0.000000,25.000000
324,0.000000,54.169751,685.266511,16723.000000,0.000000,25.000000
325,0.000000,33.010805,685.264160,16788.000000,1.000000,25.000000
326,0.000000,47.864052,685.263109,16852.000000,1.000000,25.000000
327,0.000000,85.870863,685.259005,16916.000000,0.000000,26.000000
328,0.000000,136.249484,685.248139,16978.000000,0.000000,24.000000
329,0.000000,180.922731,685.224732,17042.000000,0.000000,25.000000
330,0.000000,411.910220,685.177160,17106.000000,0.000000,26.000000
331,0.000000,183.455425,685.117181,17170.000000,1.000000,25.000000
332,0.000000,123.613279,685.082945,17235.000000,0.000000,25.000000
333,0.000000,159.591005,685.061857,17301.000000,1.000000,26.000000
334,0.000000,87.857307,685.052023,17366.000000,0.000000,26.000000
335,0.000000,44.111239,685.039987,17431.000000,0.000000,26.000000
336,0.000000,71.293622,685.024710,17497.000000,1.000000,25.000000
337,0.000000,62.891896,685.013941,17562.000000,1.000000,25.000000
338,0.000000,49.514450,684.991797,17626.000000,0.000000,25.000000
339,0.000000,604.906142,685.037826,17692.000000,1.000000,25.000000
340,0.000000,51.513191,684.948556,17757.000000,1.000000,25.000000
341,0.000000,29.890344,684.945119,17821.000000,1.000000,25.000000
342,0.000000,28.307571,684.943944,17887.000000,1.000000,26.000000
343,0.000000,364.178737,685.044408,17934.000000,0.000000,17.000000
344,0.000000,10.875745,684.942717,17979.000000,1.000000,18.000000
345,0.000000,10.860475,684.942489,18021.000000,0.000000,17.000000
346,0.000000,3587.394452,687.577118,18066.000000,1.000000,18.000000
347,0.000000,18.380982,684.939161,18111.000000,0.000000,18.000000
348,0.000000,18.018225,684.939013,18157.000000,0.000000,19.000000
349,0.000000,50.976142,684.904473,18202.000000,0.000000,18.000000
350,0.000000,44.055012,684.891826,18244.000000,1.000000,18.000000
